video,seconds,fps,numFrame,rfps,subset,featureFrame
nSx1wQM8aiw,35,29,1015,29,training,1015
tE5B4o_wi5g,22,30,660,30,training,660
Q9FHqp_3jr8,22,29,638,29,training,638
cme1UmqQc7w,22,30,660,30,training,660
cW3uy74B-G8,22,29,638,29,validation,638
a49zZT8JPmc,22,25,550,25,training,550
gKj7BfIj8F4,22,30,660,30,testing,660
VA1y_tQo5vU,22,24,528,24,validation,528
gH2H8GOxy8I,22,30,660,30,training,660
sqzbjQ68e0Y,22,29,638,29,training,638
C2qa0SBHSrc,22,30,660,30,training,660
Udv9DGF7DTo,44,23,1012,23,validation,1012
j4x9vhHVm_A,22,24,528,24,training,528
UArI0EbVtWQ,22,29,638,29,training,638
Xfh8vP_sxBM,22,30,660,30,training,660
M4OfdOdi71Y,22,25,550,25,validation,550
CxH1bEEepKk,27,30,810,30,training,810
IclPHFETq48,22,29,638,29,training,638
Y5xujHuBGlA,22,29,638,29,training,638
NJb6JClJiDw,22,29,638,29,training,638
PEOQHmVTgyU,24,23,552,23,training,552
57UPJSOAu44,22,30,660,30,training,660
SpriAFX0-X4,22,30,660,30,training,660
YEQY1GN-eG4,22,25,550,25,training,550
wO_XWlR3taI,22,25,550,25,training,550
xAHqNW5g014,22,29,638,29,training,638
sp4r-Xaveig,22,29,638,29,training,638
6RPAovj3HIk,22,29,638,29,testing,638
KRPii8woVhY,55,29,1595,29,training,1595
SYy1avyHq2E,22,29,638,29,training,638
tRYIph2ixd0,22,30,660,30,training,660
e7IFrh6uukM,22,30,660,30,training,660
dPMn7bIOqUE,59,30,1770,30,training,1770
j9zjqQVf1lk,35,29,1015,29,testing,1015
--28dsFK4L0,22,30,660,30,training,660
NvoR0MxJwP0,41,25,1025,25,training,1025
IcPxy1I3DO8,21,15,315,15,training,315
vCzeCt3HHJw,24,25,600,25,training,600
hOi-XlpplpY,23,29,667,29,validation,667
ILNVOJ-6a8o,22,29,638,29,testing,638
-jDkTyL88Q8,22,24,528,24,validation,528
x14RzcmhGzQ,22,23,506,23,validation,506
Qmu_IpMM3zc,225,30,6750,30,testing,6750
55GODZKPBq4,22,23,506,23,training,506
tmhk6YaDh1s,22,29,638,29,training,638
3Emb5XUcyJo,22,29,638,29,training,638
tvkcqTkzN1s,22,10,220,10,validation,220
4wRNNVcqfjI,22,29,638,29,validation,638
Xz7j5T_ySMc,22,29,638,29,training,638
i7QttP6hucA,22,29,638,29,validation,638
RiICM3nv7qc,70,24,1680,24,training,1680
ovZ0WKgIK94,38,29,1102,29,training,1102
Wq1B92vU_uw,22,30,660,30,validation,660
cfJpl0WLrcA,22,29,638,29,training,638
TqGMSwZpl2w,22,30,660,30,validation,660
lhFLuFkDXg4,22,29,638,29,validation,638
iP1CERnUbqE,22,29,638,29,training,638
pBoSRZLRKVM,22,25,550,25,validation,550
JiK6Xd_AhQc,22,30,660,30,training,660
S2yrhXTRjFg,22,24,528,24,validation,528
FZ-kZe_zdt8,22,30,660,30,training,660
rpim-nKL0RA,22,29,638,29,training,638
Bjp74gM9Cko,22,30,660,30,training,660
3mbHeE4cOI8,31,29,899,29,validation,899
n-nyMZREds4,52,29,1508,29,testing,1508
7lllEZintBo,22,30,660,30,testing,660
ZQKYyRKE4R4,22,30,660,30,validation,660
PWBRBGYkEgY,22,23,506,23,training,506
pgL62o_NOig,22,23,506,23,training,506
VPCL14qLX1E,28,25,700,25,training,700
kPZiWzf08Ks,22,23,506,23,training,506
mbdn9TjDk5s,22,29,638,29,training,638
MUOg7KiLsb8,22,25,550,25,testing,550
LAbmK8IdnGI,22,30,660,30,training,660
rG71b0_WqhM,26,29,754,29,training,754
xWS6Jh8jmHA,35,29,1015,29,validation,1015
_TJjcj-ntO4,41,29,1189,29,validation,1189
4v_6tlorvto,22,30,660,30,training,660
wG1M6l0-vhs,22,30,660,30,training,660
nNToLr-3q84,36,25,900,25,training,900
fywRiq5w1hs,36,30,1080,30,training,1080
R5H_8JckvUo,132,30,3960,30,training,3960
folVfEGVRzQ,22,29,638,29,training,638
6STQnPfNrDQ,22,30,660,30,training,660
p9qhjw15uZg,22,30,660,30,training,660
SVIAijrsXRk,22,30,660,30,validation,660
xYGt3v6-D40,28,29,812,29,testing,812
h5BiWyOCT30,25,29,725,29,training,725
qFSaMGnpXUA,26,25,650,25,validation,650
RlJ6k88ahM4,22,29,638,29,training,638
QZRNy22Gim8,22,30,660,30,validation,660
b4vEZIRUMQU,22,30,660,30,training,660
6HLeJ6e8awc,23,29,667,29,training,667
UL25wM4NCnI,34,30,1020,30,training,1020
SCBPWKuCNww,25,24,600,24,training,600
C9svgNzhdSg,22,25,550,25,training,550
ImKQJN6RCfU,22,30,660,30,validation,660
lQgHwmDPLZY,22,29,638,29,validation,638
628brVN-_8k,22,29,638,29,validation,638
9zuXeFIaXsI,30,23,690,23,training,690
ADGd-HCYQlU,22,25,550,25,training,550
TKyyeEb58BA,22,20,440,20,training,440
2iK1CKKq9f8,31,29,899,29,training,899
MW_fDOBYuZ4,121,19,2299,19,training,2299
3ddMX3jTx0s,23,28,644,28,testing,644
C5YuK9ehEgE,26,30,780,30,training,780
jpG99ebH7JI,22,30,660,30,training,660
o_sTMSxCnnA,22,29,638,29,training,638
dDIuQyE64Wg,22,29,638,29,training,638
rs_LmDN7q9s,22,25,550,25,training,550
y0sxz6naygU,24,25,600,25,training,600
A6nQjvSPh9Q,220,29,6380,29,training,6380
FVJCEir1814,241,30,7230,30,training,7230
GPAIJNHixlM,225,29,6525,29,training,6525
XnJvHFJ-RGI,220,29,6380,29,training,6380
zWxZRbEreSI,227,27,6129,27,training,6129
qnCz6-PywNw,222,30,6660,30,training,6660
KDnnpnZjOEs,222,30,6660,30,training,6660
ONagmHZYFXU,223,25,5575,25,training,5575
BKIBlteTboU,227,30,6810,30,training,6810
mdfBFSZR5gA,222,30,6660,30,training,6660
O_TY-KIWAkI,223,30,6690,30,training,6690
Bv4d5XHVgGg,223,25,5575,25,training,5575
sidhyA742Us,223,30,6690,30,training,6690
5jpvppmMSlQ,223,29,6467,29,validation,6467
XXyTueLMk1g,223,29,6467,29,training,6467
t6YRNmekUvA,223,29,6467,29,training,6467
Aou_YGqU5Vo,235,29,6815,29,training,6815
MsJ1kEAsdms,458,29,13282,29,testing,13282
KFbsK5Fi7Eo,224,29,6496,29,validation,6496
evo-azUP0Mw,276,29,8004,29,training,8004
PSYT9GCEQ2E,225,24,5400,24,training,5400
zq3H03aBZms,225,29,6525,29,training,6525
PYerj1limOo,224,29,6496,29,validation,6496
cshZ1UIkaSM,240,29,6960,29,validation,6960
CcdHMdgleOA,226,29,6554,29,training,6554
YEbsIzRVAMY,263,30,7890,30,training,7890
LSpYHhDMpiM,226,29,6554,29,training,6554
xQ_S7W7XcHg,227,29,6583,29,validation,6583
ElIjzzeO2mw,229,30,6870,30,training,6870
qqlaFis8u74,227,30,6810,30,validation,6810
Sovd-_UZREQ,228,30,6840,30,validation,6840
w4Um21K7bOA,228,29,6612,29,training,6612
aXB2X3u4M1k,228,29,6612,29,validation,6612
tiU4rSTWDxQ,229,29,6641,29,training,6641
r03Ky0SQ82E,233,29,6757,29,training,6757
_gd426tb-Uc,229,29,6641,29,training,6641
HAtEeV4f01w,250,29,7250,29,testing,7250
KNXvZ_asqxo,236,30,7080,30,training,7080
NFEt6CuRRh0,25,29,725,29,training,725
eLBSQK-TiBk,24,24,576,24,training,576
NGRL-DrvFNU,22,29,638,29,training,638
T2AGkyDGCFM,23,30,690,30,training,690
LRMFD4bRINE,23,30,690,30,training,690
dGWHCqxtGtc,48,30,1440,30,training,1440
TRi4S7sUzFQ,24,25,600,25,validation,600
7KmvL-58PjY,85,30,2550,30,training,2550
METc5ax0lAk,23,29,667,29,training,667
nyf4D0WEmso,23,29,667,29,testing,667
euecoShQEYU,23,29,667,29,training,667
d-4E4Mn0Jok,33,30,990,30,validation,990
maP9rXCb5aw,23,29,667,29,training,667
-LzZ3Z5WInM,23,30,690,30,training,690
NNGBr2KL4O0,23,30,690,30,training,690
qjrnADb1Rgo,39,30,1170,30,training,1170
U1k2PMMHgG0,32,29,928,29,training,928
4IQCXPbqx18,23,24,552,24,testing,552
-xSvXtM22HM,23,25,575,25,training,575
8xfnCqKLyzc,23,29,667,29,training,667
ZV8JP6WO8p8,23,24,552,24,training,552
D2EO-CZ8nq0,23,25,575,25,training,575
4zxTwFGGZkU,23,29,667,29,validation,667
1WHu0iCTrRA,30,29,870,29,training,870
aAuo1gYjlmQ,173,25,4325,25,training,4325
8iSU-OKKg-8,32,30,960,30,training,960
8_-rWhuJlIY,23,29,667,29,training,667
rYQxrrpew0A,31,29,899,29,validation,899
2auWCfgGn0k,23,30,690,30,validation,690
I8K-8cDiJsQ,23,30,690,30,training,690
pdaIu5YTAu0,31,29,899,29,training,899
prPxVthxyTs,23,30,690,30,training,690
NI1mKnIwMAo,23,14,322,14,training,322
1RMyUA_BkJk,24,30,720,30,training,720
Tr-VE9hT4wU,23,29,667,29,training,667
k76hBCrPQ_U,23,23,529,23,training,529
SuI6ewJnfWY,23,23,529,23,training,529
C2vZq0aZaeQ,23,15,345,15,training,345
UX_z5lc6A1c,24,29,696,29,training,696
O0J3dpeYyTg,63,25,1575,25,training,1575
_eIoWixr3bY,23,24,552,24,training,552
sT-sWkMgkps,23,30,690,30,training,690
VTr2e-7iFRc,23,30,690,30,training,690
5sMeZ9gws5g,23,29,667,29,training,667
2tc8NpsR6bc,25,30,750,30,validation,750
J_-up6mO8_I,26,29,754,29,testing,754
KtVv-o6aOy8,23,30,690,30,training,690
pD6lNsgMyn8,23,30,690,30,training,690
Gmwc3TzRons,23,30,690,30,training,690
sDaD-EKis4Y,29,30,870,30,training,870
46pT64NMFug,42,29,1218,29,validation,1218
MQe8qhYooLM,23,29,667,29,validation,667
v5H5nvWpGME,24,29,696,29,testing,696
NllpMkFX7Vw,23,29,667,29,training,667
t2iITUWhLl8,23,29,667,29,validation,667
AA-H1E6VNPU,23,29,667,29,validation,667
ZzoF54xW_L8,29,29,841,29,validation,841
G40lfFseF5w,23,29,667,29,validation,667
xkQ5o-L70UM,24,30,720,30,validation,720
Jozh90QMCBQ,23,30,690,30,training,690
WYKQCfeBkG0,23,25,575,25,training,575
tWU8vktXexg,23,29,667,29,training,667
DHivJr-KoHU,24,11,264,11,training,264
wWpp_R2w6lU,161,29,4669,29,training,4669
SvLo-1S7uIg,119,25,2975,25,training,2975
-wdr42Iva3I,23,23,529,23,validation,529
Uaqjjhmckwk,23,29,667,29,training,667
gShWcGKFVfs,30,29,870,29,validation,870
NklbrjT0Uds,23,23,529,23,training,529
zalmJvcng5M,23,20,460,20,training,460
_YelSkGxI8Y,24,29,696,29,training,696
VRT9WEyrjNQ,61,29,1769,29,testing,1769
wb2LB49ni90,23,20,460,20,training,460
DDyyC4Yrsxo,23,23,529,23,training,529
S9iZzQIPDls,23,30,690,30,training,690
u3bQmGngXsU,22,30,660,30,training,660
Naow4YcuvXA,23,23,529,23,validation,529
RtDVEe_PXf4,64,25,1600,25,training,1600
iZgfcH9pzFQ,23,30,690,30,validation,690
LdzaAxoVglQ,23,30,690,30,training,690
kKBJnpxcyEs,23,24,552,24,training,552
aqK43Ng43Iw,23,25,575,25,training,575
l5me1ElcDCQ,28,29,812,29,training,812
rA7KBfxecBE,27,30,810,30,training,810
NhkivWp6Uik,84,30,2520,30,training,2520
HrKiRDHWMxU,23,30,690,30,training,690
lS475szI9o0,23,30,690,30,training,690
1Kdk55jjHFw,23,30,690,30,training,690
NWfBKl4kOeY,23,30,690,30,validation,690
FtA-B1hZi7Y,23,30,690,30,training,690
07HdWqZIFL0,23,30,690,30,testing,690
eMBSw3U6ixo,23,30,690,30,training,690
M9LI4WvBBQg,23,30,690,30,training,690
11dLrj_zeuE,23,30,690,30,training,690
Yd5emngmHr4,23,30,690,30,training,690
ALcqSw50cnU,23,25,575,25,training,575
GPTTJfjjewM,23,30,690,30,training,690
6qtmf39mkFs,23,29,667,29,validation,667
aGWotPayhC8,23,30,690,30,training,690
zKdYtZWBYD4,23,30,690,30,training,690
PcCeHSVeC44,23,30,690,30,training,690
10JeZAkKXZk,23,30,690,30,training,690
gaPvLl9RQdg,23,30,690,30,validation,690
bStvcirVb9I,23,30,690,30,testing,690
j6oc416oHII,23,30,690,30,training,690
pdFl-xB0LF8,23,30,690,30,training,690
0Rk4U1QXqZA,23,30,690,30,training,690
EUOkCaXGeHg,23,29,667,29,training,667
S9FX4nWP2vk,23,30,690,30,training,690
ES0YQyqv4O0,29,23,667,23,training,667
2IpnDL1Xf8o,26,29,754,29,training,754
8-v741rIdHU,79,30,2370,30,training,2370
j-_n-7NOCE8,23,30,690,30,training,690
szhWmVTy1k4,23,30,690,30,training,690
Ued6KjpSrZc,23,30,690,30,training,690
yJycJeShNS0,23,25,575,25,validation,575
3YQi7adeZ5s,35,24,840,24,validation,840
yriUWzYIp6Y,23,30,690,30,training,690
N6v0IcOTwKc,23,30,690,30,training,690
BSzRsK8F7lQ,27,25,675,25,validation,675
NzAzdjqAgFQ,23,29,667,29,training,667
GU_ZwbybgME,30,30,900,30,training,900
u-PaKLYE9ng,23,29,667,29,training,667
MZ4iIDBYCUE,24,29,696,29,training,696
reXj3oUg4BE,23,30,690,30,training,690
8bYAB34iIDM,23,30,690,30,training,690
J_UtOUgXlXM,23,29,667,29,training,667
5mhnj8CyfoQ,23,30,690,30,training,690
MVtuVONKjGo,23,29,667,29,training,667
bCvio3-HeZw,23,30,690,30,testing,690
9Y8WaZR7-NU,23,30,690,30,validation,690
P9sYY-c6wVc,25,30,750,30,training,750
GUXxThSZgy8,23,30,690,30,training,690
VOiTBlSxAtA,23,30,690,30,training,690
aXiiZ9Jv7fE,23,23,529,23,training,529
fuT9LDEfz-c,93,25,2325,25,training,2325
h6aeHyrQehs,23,30,690,30,validation,690
dvhfhjTqux8,23,25,575,25,training,575
1xCKNH2imRg,24,30,720,30,training,720
QvTUi8eqTzk,23,29,667,29,training,667
P9Uqcd9jBhI,39,25,975,25,training,975
PQybsjWy7XA,23,30,690,30,training,690
nHtvJTzCfsw,23,23,529,23,testing,529
6qb4y85-ZNM,26,15,390,15,validation,390
MboENjBwVHU,57,29,1653,29,training,1653
wxgVUL7xRH4,23,30,690,30,training,690
C9jFHpGxCaU,23,24,552,24,training,552
NKZnJTrOPUw,30,25,750,25,training,750
TlY1MLEkFyQ,24,14,336,14,training,336
hZJbtgT8az4,35,24,840,24,training,840
gda7eVuhxZE,23,30,690,30,validation,690
k38Wlw8BQR4,23,30,690,30,training,690
5V5Cm7FOQRA,23,25,575,25,training,575
CUnmlNsl8F0,57,30,1710,30,testing,1710
ngizD7bVY9g,23,24,552,24,training,552
X1HE-jYMw8k,23,29,667,29,training,667
hgRHqGKT0tA,23,25,575,25,training,575
xonuarrVsAE,23,30,690,30,training,690
9pFAfS2sl3Y,23,25,575,25,training,575
HecoOT0L_aA,23,30,690,30,training,690
3UO4EhUuZMA,25,29,725,29,validation,725
tABQ28r_FWY,24,29,696,29,testing,696
Gb9M6Gsy3Zo,33,30,990,30,training,990
NpPOl6pwZI4,23,30,690,30,validation,690
gIpUh0Im4og,23,29,667,29,training,667
SxGPoNcEZ1k,49,25,1225,25,validation,1225
stTdsp7Lq8s,230,30,6900,30,training,6900
XprvBGjhe0A,240,30,7200,30,training,7200
e9UB6WfDWqM,230,29,6670,29,training,6670
LO77ZJuI6H0,231,30,6930,30,training,6930
C4DfS07q2IU,231,29,6699,29,validation,6699
i7pGdiH975c,238,29,6902,29,training,6902
jW8Dos_M8k0,311,29,9019,29,training,9019
HVjlEz1WcqY,232,30,6960,30,training,6960
qKdtrFzT1Oo,232,29,6728,29,validation,6728
PsiwSZMm8-s,289,29,8381,29,training,8381
4blsdEGT9gY,237,29,6873,29,training,6873
P58L7YWiXZk,233,25,5825,25,validation,5825
Mk7VkxvmlUc,248,30,7440,30,training,7440
Ksh2ukhgKtk,234,30,7020,30,training,7020
jSbmcPai-sw,240,29,6960,29,training,6960
OdZi4FA7VuQ,256,29,7424,29,training,7424
8-qn7skBDso,285,30,8550,30,testing,8550
7591ZbXI3Dg,242,29,7018,29,training,7018
V950sDstdGY,237,25,5925,25,training,5925
8wnjkKek3oY,236,30,7080,30,validation,7080
mDZfQ9HJ6ec,236,29,6844,29,training,6844
Go1l6iDpG-o,236,30,7080,30,testing,7080
hk3Rod-TEQo,236,29,6844,29,training,6844
8yIugEVI9F0,236,29,6844,29,training,6844
8M1N2m6AtNI,240,29,6960,29,training,6960
YeSQYb1cfdo,259,29,7511,29,training,7511
lybibRtULEQ,249,26,6474,26,training,6474
hSs5UzfPkOs,237,29,6873,29,training,6873
mTRcjNYdqp8,237,30,7110,30,training,7110
6y3zfQWJV4o,445,29,12905,29,testing,12905
e8vswhF_8cw,242,29,7018,29,testing,7018
icxej30lB78,239,30,7170,30,training,7170
QIfymASOUYk,238,20,4760,20,training,4760
zBKkvRR8y14,240,24,5760,24,training,5760
jpq2QW7FUis,241,24,5784,24,training,5784
_siiTetGhr0,239,30,7170,30,training,7170
YIzzPezoimA,259,30,7770,30,training,7770
8_glimktpmg,239,29,6931,29,training,6931
t5MfJFNmNpo,239,30,7170,30,training,7170
p1GuxCodnyg,239,30,7170,30,training,7170
1qqtGpmygs8,25,29,725,29,training,725
RR7IK8zg2yY,24,24,576,24,training,576
tpoL6t5eH8c,39,29,1131,29,validation,1131
gDUnkzT9rKc,44,29,1276,29,training,1276
i6g5Q1qhntg,24,29,696,29,training,696
9qmXeIfF5Lo,28,29,812,29,validation,812
Dpwie4ZemNE,24,29,696,29,testing,696
Fl5KdV1fd0M,24,24,576,24,training,576
HB0LDgUYFs8,24,25,600,25,training,600
pMzuE7LDp-Q,24,30,720,30,validation,720
SDkwLwOD6Lc,24,30,720,30,training,720
xvosnsqEGrI,24,29,696,29,training,696
hWePJK67GSI,24,29,696,29,training,696
NhyliRTvlK0,24,29,696,29,training,696
SHPu3yvRoy0,24,30,720,30,training,720
YiT6ItH06U8,24,30,720,30,training,720
S8aQ42ILUYc,25,25,625,25,validation,625
LSQ0u96hXNA,24,30,720,30,training,720
ttq9KD1YxlI,24,30,720,30,training,720
Fxp3oNKyYkg,24,30,720,30,training,720
s5aMkgHwCQ0,145,29,4205,29,training,4205
Cj-79LX6uv0,23,29,667,29,training,667
49QLgvNWtZw,59,30,1770,30,validation,1770
Mku5K0289G4,24,28,672,28,training,672
5QM1hmqSNmM,28,30,840,30,validation,840
Yus7hKf-f8w,28,30,840,30,training,840
XzPN0cAbikE,24,30,720,30,testing,720
zCG0E8nSlsE,24,25,600,25,validation,600
0E-AWOvdNhI,24,29,696,29,testing,696
Tiy1N5dIDoo,47,30,1410,30,training,1410
MmLwXFUGmTs,51,29,1479,29,training,1479
IaGGn0lNXNo,58,25,1450,25,training,1450
KEHLpZlWSJ0,24,24,576,24,testing,576
sJukuhqhQaw,24,29,696,29,training,696
2Uy_DGa1d10,28,29,812,29,training,812
qyOk-Ik33E4,24,20,480,20,validation,480
FIS-aFn5IIQ,24,29,696,29,training,696
MFeG5nJugSw,24,30,720,30,testing,720
Xa3RNdlwPVo,24,29,696,29,training,696
FVurEd0YR0k,24,29,696,29,validation,696
1mcS3sWPSns,25,30,750,30,training,750
hO3dW-ffXmY,25,30,750,30,training,750
rG57bxcJf5M,24,29,696,29,training,696
ffq40dxTC2U,25,29,725,29,training,725
etOQM0ijbmA,24,30,720,30,training,720
7zC8KAzwAOk,23,29,667,29,training,667
xIzXA7TnbSE,24,26,624,26,testing,624
DnqCmMMAbiY,24,30,720,30,training,720
D3XIrNvBT1o,33,30,990,30,training,990
jlesqHFkzm0,24,30,720,30,training,720
y91iJzRKlag,28,23,644,23,training,644
nRUYGSXwQ4Y,24,24,576,24,training,576
b-HyQ6DY3TQ,24,30,720,30,training,720
bh_RiwBHJnY,24,23,552,23,training,552
bB5IyPzqdEo,26,29,754,29,training,754
McgwterFjl4,24,30,720,30,training,720
AEz7Iufniog,24,25,600,25,training,600
vI4Z_7ikIsE,24,29,696,29,training,696
y95sR6uU6Bo,64,30,1920,30,training,1920
dVSi0rWAomc,30,30,900,30,training,900
YdRM4q77aFs,24,29,696,29,validation,696
LoRWVdCsmWQ,39,30,1170,30,training,1170
h7-NsM6nwII,24,29,696,29,training,696
WCOh7R0kB7A,26,29,754,29,training,754
tAA3uFwtRGM,33,30,990,30,validation,990
NMkIrrMXQq0,24,30,720,30,training,720
cNJPxveEdGg,24,29,696,29,validation,696
csRjmK-oAKg,24,30,720,30,training,720
elAFmf_-6lI,24,29,696,29,training,696
EOR5qJK-DHQ,24,29,696,29,training,696
TNkA7IDiQJk,24,29,696,29,training,696
wAmzbnjsd70,56,25,1400,25,validation,1400
inGH4J_I6Dk,27,24,648,24,training,648
XSnecbg0CgY,144,30,4320,30,training,4320
MkhV4HdUmII,24,29,696,29,training,696
xBj_DdFi_gg,24,25,600,25,validation,600
US8B2hGIjGE,24,30,720,30,validation,720
ikp-5d_G2C8,24,30,720,30,validation,720
DS2urYNnCOg,32,29,928,29,training,928
raKjPLgYVqA,24,29,696,29,training,696
3o-TkvrAYEM,24,30,720,30,validation,720
NV9-y0UBoKw,47,18,846,18,training,846
ImBx3_uX3_I,24,29,696,29,validation,696
0cuBxHhpXgk,24,29,696,29,validation,696
O_MBivz5Csg,24,29,696,29,training,696
oFJLc28l7KI,24,29,696,29,training,696
FIUkL-8Vhcs,24,29,696,29,training,696
dctnHy99Mu0,24,23,552,23,training,552
SoEn0-tXxjw,24,29,696,29,training,696
o-JmvLuKfEI,24,29,696,29,training,696
pDW2c9ORT5s,24,25,600,25,training,600
EYS5FWpjSSw,27,25,675,25,training,675
DV0UaZbr2EQ,24,24,576,24,training,576
G9okEmq7DnA,24,29,696,29,training,696
V2H5E4J-gbQ,24,30,720,30,training,720
cdvYHug1prA,120,29,3480,29,testing,3480
xB0_-27ivlM,24,30,720,30,training,720
m_uX1wQdnT0,27,30,810,30,training,810
q62UqhGI29c,24,29,696,29,training,696
Uz1JWnm7H6w,25,30,750,30,training,750
NrG0ZTt9VtA,24,25,600,25,training,600
E3_Bz7j1Vsc,24,25,600,25,training,600
ICe0nZlaQQ4,80,29,2320,29,validation,2320
bgasXg_xZT4,24,30,720,30,training,720
2dXc7kYHM8Y,94,30,2820,30,training,2820
6juVvylDNzY,25,29,725,29,validation,725
g8TBkAJAuQk,25,29,725,29,training,725
dc9pNB1VI8s,24,30,720,30,testing,720
kTIWBLhtj4g,39,29,1131,29,training,1131
8qj2hay-b8E,25,25,625,25,training,625
IX_20omrrnQ,25,29,725,29,training,725
1xN1D4iQSSA,57,30,1710,30,training,1710
xFaJvSAtqos,24,29,696,29,training,696
_ZD5hRef60k,24,30,720,30,training,720
oF_bkdSyirc,24,29,696,29,training,696
ajCIQmof9cI,25,24,600,24,validation,600
8I_Unw37Bww,59,30,1770,30,training,1770
wofzGw1T6eg,24,25,600,25,validation,600
P5zJ02TJR7s,24,29,696,29,training,696
uEpSGwIRpkQ,25,29,725,29,validation,725
5XCrOAAwtF0,24,30,720,30,training,720
tAYdYaZFbbw,25,30,750,30,training,750
HWM4aGimL3Q,30,29,870,29,training,870
gTYTgiUqFos,24,25,600,25,training,600
_STzlFbESbk,115,29,3335,29,training,3335
gHyttxjMcf0,24,23,552,23,training,552
gNt_IuuqtEM,24,23,552,23,training,552
26YbNRJgQ48,24,23,552,23,training,552
T2xgb1rDE_E,32,30,960,30,training,960
8pB18CPtCCA,241,29,6989,29,training,6989
Y1PFZ2XwJPQ,244,30,7320,30,training,7320
FEj1N5jAFfE,240,30,7200,30,training,7200
lq2RPZg29bQ,243,29,7047,29,validation,7047
y4E227fjWo8,240,24,5760,24,training,5760
-LSzaA77mCI,240,29,6960,29,training,6960
xcbdFBaYu1Q,257,29,7453,29,validation,7453
2pF6vOG1V4w,240,30,7200,30,training,7200
UEyaLL8PgsE,242,30,7260,30,training,7260
Psq_DkBHY60,242,25,6050,25,training,6050
3bqNjCkiBY8,295,29,8555,29,validation,8555
OcQyCb9zvkc,246,24,5904,24,testing,5904
b4mfENUVb6s,242,29,7018,29,training,7018
0thoEkrzBcE,241,30,7230,30,training,7230
YWlnMGWpYq4,242,30,7260,30,training,7260
7WNxiY3cjTg,242,29,7018,29,training,7018
2DL-TFsGZ2k,447,28,12516,28,training,12516
2d0caa0lW7A,575,30,17250,30,testing,17250
yn2Pvq2KkLc,586,30,17580,30,training,17580
qRn5XRL04WA,245,24,5880,24,training,5880
UrF4CEbtjNw,243,28,6804,28,training,6804
9OrKFp1y6WM,243,30,7290,30,training,7290
F0UYe-GKu00,244,30,7320,30,training,7320
4it0KE8paGA,244,25,6100,25,training,6100
PwIRQ4dYKDw,248,29,7192,29,training,7192
MyExvpuvNzo,244,25,6100,25,validation,6100
wiuZAbMgNgM,244,29,7076,29,training,7076
bhSts7hN-as,244,25,6100,25,training,6100
l5R4f7Ahwrg,248,30,7440,30,validation,7440
yq4CaSAdubM,257,30,7710,30,training,7710
vYEODyWvx80,245,25,6125,25,training,6125
0SBfcJ_gmc4,245,24,5880,24,validation,5880
bscrlR76hvQ,247,30,7410,30,training,7410
hT7tICx3HRU,246,29,7134,29,training,7134
CmhXXTk9G4U,264,29,7656,29,training,7656
GCPZt0C_P6o,260,30,7800,30,validation,7800
dfiuP17aF44,247,30,7410,30,testing,7410
hPhQoQWntz4,248,29,7192,29,training,7192
O4x3O6bEgzA,260,30,7800,30,validation,7800
X0E_ojGWiA0,251,29,7279,29,training,7279
awvTePBdfyk,261,30,7830,30,training,7830
h3uR99WtOh4,293,29,8497,29,training,8497
BAkfazw0aAo,249,25,6225,25,training,6225
xUXd0Z6WkS0,24,29,696,29,training,696
vm_fJvzX5j4,25,30,750,30,training,750
9ZAf9en6kec,24,29,696,29,training,696
kZyHjcT-3Cc,25,29,725,29,training,725
adMRwXjfLzQ,25,29,725,29,training,725
MRsYOWzHkOE,25,23,575,23,training,575
BEV4yeSQKKc,25,23,575,23,training,575
8nCztZmYcKc,25,23,575,23,training,575
J0DT_Te0xZ4,25,25,625,25,training,625
Qs0sUlihQt8,32,29,928,29,training,928
Zb5_LPj560c,25,10,250,10,training,250
xoMtNm-Wo0c,48,29,1392,29,validation,1392
v26v9ywyTpw,25,23,575,23,training,575
AM4p1ocYDtg,25,29,725,29,validation,725
vPe4kxQVTFQ,25,30,750,30,training,750
gyrqIaNbNV0,214,29,6206,29,training,6206
l7f0RspA_AE,33,29,957,29,training,957
lPrwU7TwVaw,29,15,435,15,training,435
3JmnLBn1ijU,31,18,558,18,testing,558
V5Z2JrfKleI,25,29,725,29,training,725
ofaJfGVftmw,25,29,725,29,training,725
Kj_E3M_iNrs,87,29,2523,29,training,2523
4qjmIsFjnFc,25,25,625,25,testing,625
pAHRxvrvrgw,27,29,783,29,training,783
WKro8FOFGKQ,25,30,750,30,training,750
7evms6Xx44M,40,30,1200,30,training,1200
8KtnO2Yx7tk,28,29,812,29,training,812
hMCk1jtnE40,30,30,900,30,training,900
g4uR9WnLq0E,28,30,840,30,testing,840
G1t8IDzr81E,25,25,625,25,training,625
jz7MR__Ej60,25,30,750,30,training,750
Qjjpf9Qqly4,25,29,725,29,training,725
Bc8wvk1vhLY,24,30,720,30,training,720
SkNNDPvsHcc,31,30,930,30,training,930
3-rmRL6ZIQQ,25,29,725,29,training,725
apLEWxPs_XQ,46,29,1334,29,training,1334
3hfnyRdCWwM,26,10,260,10,training,260
_gIu0UJB4XI,29,29,841,29,training,841
FoxhvCiFxKM,25,29,725,29,training,725
KXD2DssMVVY,26,29,754,29,training,754
fQ-U9fTpbyw,25,30,750,30,validation,750
XqvcnU3-HRc,25,30,750,30,validation,750
lqZn6gvCKPU,25,30,750,30,training,750
